"Region, subregion, country or area",Origin Latitude,Origin Longitude,Total Population (2000),Total Population (2005),Total Population (2010),Total Population (2015),Total Population (2020),Destination,Destination Latitude,Destination Longitude,Total Migrants (2000),Total Migrants (2005),Total Migrants (2010),Total Migrants (2015),Total Migrants (2020),Total Migrants (2000-2020),Proportion of Emigration per Population (%) (2000),Proportion of Emigration per Population (%) (2005),Proportion of Emigration per Population (%) (2010),Proportion of Emigration per Population (%) (2015),Proportion of Emigration per Population (%) (2020),Number of Emigration per Population ( '000s) (2000),Number of Emigration per Population ( '000s) (2005),Number of Emigration per Population ( '000s) (2010),Number of Emigration per Population ( '000s) (2015),Number of Emigration per Population ( '000s) (2020),,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Seychelles,-4.679574,55.491977,226,176,126,141,143,812,0.000105572,7.69213E-05,5.16359E-05,5.44208E-05,5.2601E-05,0.001055717,0.000769213,0.000516359,0.000544208,0.00052601,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Seychelles,-4.679574,55.491977,398,514,630,705,718,2965,0.00051053,0.000595864,0.000665704,0.000684258,0.00063998,0.005105299,0.005958643,0.006657037,0.006842577,0.006399802,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Seychelles,-4.679574,55.491977,469,341,214,239,242,1505,0.000743658,0.000518069,0.000313459,0.000339999,0.000338577,0.007436583,0.005180689,0.00313459,0.003399986,0.003385768,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"China, Hong Kong SAR",22.396428,114.109497,111117,121316,131809,134708,140463,639413,0.051906266,0.053021535,0.054016502,0.051992349,0.051667788,0.519062659,0.530215352,0.540165016,0.519923485,0.516677881,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"China, Hong Kong SAR",22.396428,114.109497,12609,13766,14957,15286,15939,72557,0.05495279,0.053102324,0.052082806,0.049200432,0.048009046,0.549527896,0.531023237,0.520828056,0.492004318,0.480090463,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"China, Hong Kong SAR",22.396428,114.109497,97347,106282,115475,118015,123056,560175,0.124870727,0.123209436,0.122019259,0.11454279,0.1096844,1.248707272,1.232094365,1.220192589,1.1454279,1.096844,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"China, Hong Kong SAR",22.396428,114.109497,8156,8905,9675,9887,10309,46932,0.201203769,0.20496534,0.18736964,0.174990593,0.174437031,2.012037689,2.0496534,1.873696401,1.74990593,1.744370307,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"China, Hong Kong SAR",22.396428,114.109497,15845,17299,18795,19208,20028,91175,0.025124233,0.026281742,0.027530197,0.02732508,0.028020726,0.251242326,0.26281742,0.275301968,0.273250797,0.28020726,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"China, Hong Kong SAR",22.396428,114.109497,9023,9852,10704,10939,11406,51924,0.011421354,0.011849593,0.012245597,0.011865532,0.011801506,0.114213539,0.118495932,0.122455967,0.118655322,0.118015056,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"China, Macao SAR",22.198745,113.543873,5239,6077,14193,28124,30173,83806,0.006720266,0.007044878,0.014997353,0.027296542,0.02689432,0.067202661,0.070448782,0.14997353,0.272965422,0.268943197,,,,
