"Region, subregion, country or area","Location code of origin","Origin Latitude","Origin Longitude","Total Population (2000)","Total Population (2005)","Total Population (2010)","Total Population (2015)","Total Population (2020)","Destination","Location code of destination","Destination Latitude","Destination Longitude","Total Migrants (2000)","Total Migrants (2005)","Total Migrants (2010)","Total Migrants (2015)","Total Migrants (2020)","Total Migrants (2000-2020)","Proportion of Emigration per Population (%) (2000)","Proportion of Emigration per Population (%) (2005)","Proportion of Emigration per Population (%) (2010)","Proportion of Emigration per Population (%) (2015)","Proportion of Emigration per Population (%) (2020)","Number of Emigration per Population ( '000s) (2000)","Number of Emigration per Population ( '000s) (2005)","Number of Emigration per Population ( '000s) (2010)","Number of Emigration per Population ( '000s) (2015)","Number of Emigration per Population ( '000s) (2020)"
"Brunei Darussalam","096",4.535277,114.727669,333926,366717,396053,421437,441725,"WORLD","900",,,45242,45314,44541,45110,45340,225547,13.548510747890251,12.356667402929235,11.246222096537585,10.703853719535779,10.264304714471674,135.4851074789025,123.56667402929234,112.46222096537585,107.03853719535779,102.64304714471673
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"WORLD","900",,,459621,674436,953059,1074572,1104819,4266507,3.792615151894476,5.091396022657315,6.635269096765336,6.96980961208879,6.73799129833395,37.926151518944756,50.913960226573145,66.35269096765336,69.69809612088791,67.3799129833395
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"WORLD","900",,,2415077,2781287,3415963,4065095,4601369,17278791,1.1281588673208867,1.2155701359581321,1.3998920473193388,1.5689776105372932,1.6925635838449027,11.281588673208867,12.155701359581322,13.998920473193389,15.68977610537293,16.925635838449026
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"WORLD","900",,,649287,897002,1198862,1288179,1296051,5329381,11.955525218598256,15.325586838818584,18.959081939545985,18.97892262139703,17.707068572160093,119.55525218598257,153.25586838818583,189.59081939545987,189.7892262139703,177.0706857216009
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"WORLD","900",,,1201135,1379305,1599061,1781038,1860037,7820576,5.234809970734556,5.320666902848439,5.568201053209949,5.732555194461279,5.602522265592044,52.34809970734556,53.206669028484384,55.68201053209949,57.32555194461279,56.02522265592044
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"WORLD","900",,,1224310,1736590,2492274,2842494,3711751,12007419,2.688526228848259,3.6387831307758236,5.046009608068582,5.521126594232311,6.947826298230966,26.88526228848259,36.38783130775824,50.460096080685815,55.21126594232311,69.47826298230967
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"WORLD","900",,,3062665,3684528,4692695,5498232,6094307,23032427,3.928597756775446,4.271359387905925,4.958641837680308,5.336464289296759,5.432083009670198,39.285977567754465,42.71359387905925,49.58641837680308,53.36464289296759,54.32083009670198
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"WORLD","900",,,192930,235683,282421,324639,348464,1384137,4.759470712714273,5.424687954367649,5.469469884324665,5.745804703631033,5.896306669403332,47.594707127142726,54.24687954367649,54.694698843246655,57.458047036310326,58.96306669403332
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"WORLD","900",,,531028,631678,769257,921690,1086985,3940638,0.8420114208466247,0.9596854273445581,1.126778218916815,1.3111855842507618,1.5207763582301244,8.420114208466247,9.596854273445581,11.267782189168148,13.11185584250762,15.207763582301242
"Timor-Leste","626",-8.874217,125.727539,878360,969313,1088486,1205813,1299995,"WORLD","900",,,148339,94961,35037,37325,39588,355250,16.888177968031332,9.796732324852757,3.2188746570925115,3.095421926948872,3.0452424817018526,168.88177968031331,97.96732324852756,32.18874657092512,30.954219269488714,30.452424817018528
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"WORLD","900",,,2158532,2376225,2630742,2909491,3392025,13467015,2.7322794903395193,2.8580287759167002,3.0096230895942493,3.155924590708561,3.509644233648911,27.32279490339519,28.580287759167003,30.096230895942494,31.559245907085604,35.09644233648911
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Seychelles","690",-4.679574,55.491977,226,176,126,141,143,812,0.00010557174947818243,0.00007692134753753613,0.00005163592168950211,0.00005442082979260222,0.00005260099602744772,0.0010557174947818243,0.0007692134753753613,0.0005163592168950211,0.0005442082979260222,0.0005260099602744771
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Seychelles","690",-4.679574,55.491977,398,514,630,705,718,2965,0.0005105298513538463,0.0005958643075540872,0.0006657036857794069,0.0006842576529972208,0.0006399801652498311,0.005105298513538463,0.005958643075540872,0.006657036857794069,0.006842576529972208,0.006399801652498311
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Seychelles","690",-4.679574,55.491977,469,341,214,239,242,1505,0.0007436582560186411,0.0005180689065069455,0.000313459011550364,0.0003399986488254533,0.0003385767776847796,0.007436582560186411,0.005180689065069455,0.00313459011550364,0.0033999864882545334,0.0033857677768477953
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"China, Hong Kong SAR","344",22.396428,114.109497,111117,121316,131809,134708,140463,639413,0.05190626587065132,0.05302153521513484,0.05401650160294908,0.05199234850852383,0.05166778814687684,0.5190626587065131,0.5302153521513485,0.5401650160294907,0.5199234850852382,0.5166778814687685
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"China, Hong Kong SAR","344",22.396428,114.109497,12609,13766,14957,15286,15939,72557,0.05495278958734199,0.05310232369534773,0.05208280556705542,0.04920043182825696,0.04800904626696759,0.5495278958734199,0.5310232369534773,0.5208280556705542,0.4920043182825696,0.4800904626696758
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"China, Hong Kong SAR","344",22.396428,114.109497,97347,106282,115475,118015,123056,560175,0.12487072723553486,0.12320943645031807,0.12201925891329685,0.11454278995527237,0.10968440002086799,1.2487072723553485,1.2320943645031808,1.2201925891329686,1.1454278995527236,1.09684400020868
