"Region, subregion, country or area","Location code of origin","Origin Latitude","Origin Longitude","Total Population (2000)","Total Population (2005)","Total Population (2010)","Total Population (2015)","Total Population (2020)","Destination","Location code of destination","Total Migrants (2000)","Total Migrants (2005)","Total Migrants (2010)","Total Migrants (2015)","Total Migrants (2020)","Total Migrants (2000-2020)","Proportion of Emigration per Population (%) (2000)","Proportion of Emigration per Population (%) (2005)","Proportion of Emigration per Population (%) (2010)","Proportion of Emigration per Population (%) (2015)","Proportion of Emigration per Population (%) (2020)","Overall Proportion of Emigration per Population (%) (2020)","Number of Emigration per Population ( '000s) (2000)","Number of Emigration per Population ( '000s) (2005)","Number of Emigration per Population ( '000s) (2010)","Number of Emigration per Population ( '000s) (2015)","Number of Emigration per Population ( '000s) (2020)","Overall Number of Emigration per Population ( '000s) (2020)"
"South-Eastern Asia","920",,,525397454,562458078,599778172,636644120,670164337,"High-income countries","1503",8312988,9745758,12010416,14002750,15840754,59912666,1.5822284513773073,1.7327083352868125,2.0024763422033973,2.1994627076741087,2.3637118726596755,8.939996160971484,15.822284513773072,17.327083352868122,20.02476342203397,21.994627076741086,23.637118726596754,89.39996160971484
"Brunei Darussalam","096",4.535277,114.727669,333926,366717,396053,421437,441725,"High-income countries","1503",9836,11123,11703,12935,14352,59949,2.945562789360517,3.0331290886432862,2.9549075502521127,3.0692606486853315,3.2490803101477166,13.57156601958232,29.455627893605172,30.331290886432864,29.549075502521127,30.692606486853315,32.49080310147716,135.71566019582318
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"High-income countries","1503",271696,276670,305799,368605,372334,1595104,2.2419305608514875,2.088614097688438,2.1289958486533815,2.390818551073347,2.2707640365289454,9.728106478923404,22.419305608514872,20.886140976884377,21.289958486533816,23.90818551073347,22.70764036528945,97.28106478923404
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"High-income countries","1503",1519391,1716742,2214561,2642386,3102137,11195217,0.7097556018203764,0.7503074318993458,0.9075468124811547,1.0198641046266312,1.1410873847104794,4.118038915688218,7.097556018203765,7.503074318993457,9.075468124811547,10.198641046266312,11.410873847104796,41.18038915688218
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"High-income countries","1503",292877,276820,278344,291519,258977,1398537,5.392836079341496,4.729564648375098,4.401796623281902,4.294990481654367,3.538227660495076,19.107265500897,53.92836079341495,47.295646483750986,44.01796623281903,42.949904816543665,35.38227660495076,191.07265500897
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"High-income countries","1503",1008954,1154103,1355334,1538572,1619828,6676791,4.397242990348723,4.451950536377445,4.719502386870328,4.9521396571284155,4.879001028705036,20.110820505293482,43.972429903487225,44.51950536377445,47.195023868703274,49.52139657128416,48.79001028705036,201.10820505293478
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"High-income countries","1503",167952,215669,291827,434689,529638,1639775,0.3688145626414248,0.4519044328432682,0.5908507033712305,0.8443194596436261,0.9914007768685057,3.069406290503238,3.688145626414248,4.519044328432682,5.908507033712304,8.44319459643626,9.914007768685059,30.694062905032382
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"High-income countries","1503",2840441,3536316,4581457,5307773,5889761,22155748,3.6435425163552018,4.099541798895796,4.841099700222006,5.151608929960308,5.249763534905307,19.748244103445145,36.435425163552026,40.99541798895796,48.41099700222007,51.51608929960308,52.49763534905307,197.48244103445145
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"High-income countries","1503",130024,145303,166156,190060,207566,839109,3.2076163372723814,3.3444221001662506,3.217838751721186,3.3638830885140547,3.512192909859762,14.198436547409088,32.07616337272382,33.44422100166251,32.17838751721186,33.63883088514054,35.12192909859762,141.98436547409088
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"High-income countries","1503",408423,523034,657303,809324,967684,3365768,0.6476058334710053,0.7946265467623276,0.9627922835004155,1.1513350061172016,1.3538650022194967,4.7089705945229134,6.476058334710052,7.9462654676232765,9.627922835004155,11.513350061172018,13.538650022194966,47.089705945229134
"Timor-Leste","626",-8.874217,125.727539,878360,969313,1088486,1205813,1299995,"High-income countries","1503",4577,14893,14494,14593,15689,64246,0.5210847488501298,1.536449010794243,1.3315743151496666,1.2102208219682489,1.206850795579983,4.942019007765414,5.210847488501297,15.36449010794243,13.315743151496665,12.102208219682487,12.06850795579983,49.42019007765415
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"High-income countries","1503",1658817,1875085,2133438,2392294,2862788,10922422,2.0997380012557287,2.255277546229741,2.4406970599997173,2.594921057602359,2.962055821038848,11.301159451884937,20.997380012557286,22.552775462297408,24.40697059999717,25.94921057602359,29.62055821038848,113.01159451884938
