"Region, subregion, country or area","Location code of origin","Origin Latitude","Origin Longitude","Total Population (2000)","Total Population (2005)","Total Population (2010)","Total Population (2015)","Total Population (2020)","Destination","Location code of destination","Total Migrants (2000)","Total Migrants (2005)","Total Migrants (2010)","Total Migrants (2015)","Total Migrants (2020)","Total Migrants (2000-2020)","Proportion of Emigration per Population (%) (2000)","Proportion of Emigration per Population (%) (2005)","Proportion of Emigration per Population (%) (2010)","Proportion of Emigration per Population (%) (2015)","Proportion of Emigration per Population (%) (2020)","Overall Proportion of Emigration per Population (%) (2020)","Number of Emigration per Population per Thousand (2000)","Number of Emigration per Population per Thousand (2005)","Number of Emigration per Population per Thousand (2010)","Number of Emigration per Population per Thousand (2015)","Number of Emigration per Population per Thousand (2020)","Overall Number of Emigration per Population per Thousand (2020)"
"South-Eastern Asia","920",,,525397454,562458078,599778172,636644120,670164337,"High-income countries","1503",8312988,9745758,12010416,14002750,15840754,59912666,0.01582228451377307,0.017327083352868124,0.02002476342203397,0.021994627076741085,0.023637118726596757,0.08939996160971485,15.822284513773072,17.327083352868122,20.02476342203397,21.994627076741086,23.637118726596754,89.39996160971484
"Brunei Darussalam","096",4.535277,114.727669,333926,366717,396053,421437,441725,"High-income countries","1503",9836,11123,11703,12935,14352,59949,0.02945562789360517,0.03033129088643286,0.029549075502521126,0.030692606486853315,0.032490803101477166,0.1357156601958232,29.455627893605172,30.331290886432864,29.549075502521127,30.692606486853315,32.49080310147716,135.71566019582318
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"High-income countries","1503",271696,276670,305799,368605,372334,1595104,0.022419305608514874,0.02088614097688438,0.021289958486533814,0.023908185510733468,0.022707640365289453,0.09728106478923404,22.419305608514872,20.886140976884377,21.289958486533816,23.90818551073347,22.70764036528945,97.28106478923404
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"High-income countries","1503",1519391,1716742,2214561,2642386,3102137,11195217,0.0070975560182037645,0.007503074318993458,0.009075468124811546,0.010198641046266312,0.011410873847104794,0.04118038915688218,7.097556018203765,7.503074318993457,9.075468124811547,10.198641046266312,11.410873847104796,41.18038915688218
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"High-income countries","1503",292877,276820,278344,291519,258977,1398537,0.05392836079341496,0.04729564648375099,0.04401796623281902,0.04294990481654367,0.03538227660495076,0.19107265500897,53.92836079341495,47.295646483750986,44.01796623281903,42.949904816543665,35.38227660495076,191.07265500897
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"High-income countries","1503",1008954,1154103,1355334,1538572,1619828,6676791,0.04397242990348723,0.04451950536377445,0.04719502386870328,0.049521396571284154,0.048790010287050364,0.2011082050529348,43.972429903487225,44.51950536377445,47.195023868703274,49.52139657128416,48.79001028705036,201.10820505293478
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"High-income countries","1503",167952,215669,291827,434689,529638,1639775,0.003688145626414248,0.004519044328432682,0.005908507033712304,0.00844319459643626,0.009914007768685057,0.03069406290503238,3.688145626414248,4.519044328432682,5.908507033712304,8.44319459643626,9.914007768685059,30.694062905032382
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"High-income countries","1503",2840441,3536316,4581457,5307773,5889761,22155748,0.03643542516355202,0.04099541798895796,0.04841099700222007,0.051516089299603086,0.05249763534905307,0.19748244103445145,36.435425163552026,40.99541798895796,48.41099700222007,51.51608929960308,52.49763534905307,197.48244103445145
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"High-income countries","1503",130024,145303,166156,190060,207566,839109,0.032076163372723815,0.03344422100166251,0.03217838751721186,0.033638830885140546,0.03512192909859762,0.14198436547409088,32.07616337272382,33.44422100166251,32.17838751721186,33.63883088514054,35.12192909859762,141.98436547409088
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"High-income countries","1503",408423,523034,657303,809324,967684,3365768,0.006476058334710053,0.007946265467623276,0.009627922835004155,0.011513350061172016,0.013538650022194967,0.047089705945229134,6.476058334710052,7.9462654676232765,9.627922835004155,11.513350061172018,13.538650022194966,47.089705945229134
"Timor-Leste","626",-8.874217,125.727539,878360,969313,1088486,1205813,1299995,"High-income countries","1503",4577,14893,14494,14593,15689,64246,0.005210847488501298,0.015364490107942429,0.013315743151496666,0.012102208219682489,0.01206850795579983,0.04942019007765414,5.210847488501297,15.36449010794243,13.315743151496665,12.102208219682487,12.06850795579983,49.42019007765415
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"High-income countries","1503",1658817,1875085,2133438,2392294,2862788,10922422,0.020997380012557288,0.02255277546229741,0.024406970599997174,0.02594921057602359,0.02962055821038848,0.11301159451884937,20.997380012557286,22.552775462297408,24.40697059999717,25.94921057602359,29.62055821038848,113.01159451884938
