"Destination","Location code of destination","Origin","Location code of origin","2000","2005","2010","2015","2020","Total (2000-2020)"
"Seychelles",690,"WORLD",900,6574,8997,11420,12791,13050,52832
"Seychelles",690,"South-Eastern Asia",920,1093,1031,970,1085,1103,5282
"Seychelles",690,"Indonesia",360,226,176,126,141,143,812
"Seychelles",690,"Philippines",608,398,514,630,705,718,2965
"Seychelles",690,"Thailand",764,469,341,214,239,242,1505
"China, Hong Kong SAR",344,"WORLD",900,2669122,2721235,2779950,2841113,2962492,13973912
"China, Hong Kong SAR",344,"South-Eastern Asia",920,254097,277420,301415,308043,321201,1462176
"China, Hong Kong SAR",344,"Indonesia",360,111117,121316,131809,134708,140463,639413
"China, Hong Kong SAR",344,"Malaysia",458,12609,13766,14957,15286,15939,72557
"China, Hong Kong SAR",344,"Philippines",608,97347,106282,115475,118015,123056,560175
"China, Hong Kong SAR",344,"Singapore",702,8156,8905,9675,9887,10309,46932
"China, Hong Kong SAR",344,"Thailand",764,15845,17299,18795,19208,20028,91175
"China, Hong Kong SAR",344,"Viet Nam",704,9023,9852,10704,10939,11406,51924
"China, Macao SAR",446,"WORLD",900,240791,279308,318506,376066,403490,1618161
"China, Macao SAR",446,"South-Eastern Asia",920,6213,7206,15480,29643,31801,90343
"China, Macao SAR",446,"Philippines",608,5239,6077,14193,28124,30173,83806
"China, Macao SAR",446,"Thailand",764,974,1129,1287,1519,1628,6537
"China, Taiwan Province of China",158,"WORLD",900,0,0,0,0,0,0
"China, Taiwan Province of China",158,"South-Eastern Asia",920,0,0,0,0,0,0
"Japan",392,"WORLD",900,1686444,2011555,2134151,2232189,2770996,10835335
"Japan",392,"South-Eastern Asia",920,222517,312853,331695,472405,738927,2078397
"Japan",392,"Cambodia",116,1761,2531,2683,3383,4199,14557
"Japan",392,"Indonesia",360,19347,23481,24895,35910,57169,160802
"Japan",392,"Malaysia",458,8387,7889,8364,8738,10519,43897
"Japan",392,"Philippines",608,144882,198241,210181,229595,275252,1058151
"Japan",392,"Singapore",702,1940,2369,2512,2444,3033,12298
"Japan",392,"Thailand",764,29291,38934,41279,45379,53087,207970
"Japan",392,"Viet Nam",704,16909,39408,41781,146956,335668,580722
"Republic of Korea",410,"WORLD",900,244224,486065,919987,1370905,1728182,4749363
"Republic of Korea",410,"South-Eastern Asia",920,59420,106194,201711,356380,534776,1258481
