"Year","Origin","Emigration"
"1990","South-Eastern Asia",5599207
"1995","South-Eastern Asia",6888567
"2000","South-Eastern Asia",8312988
"2005","South-Eastern Asia",9745758
"2010","South-Eastern Asia",12010416
"2015","South-Eastern Asia",14002750
"2020","South-Eastern Asia",15840754
"1990","Brunei Darussalam",6624
"1995","Brunei Darussalam",8192
"2000","Brunei Darussalam",9836
"2005","Brunei Darussalam",11123
"2010","Brunei Darussalam",11703
"2015","Brunei Darussalam",12935
"2020","Brunei Darussalam",14352
"1990","Cambodia",237526
"1995","Cambodia",254037
"2000","Cambodia",271696
"2005","Cambodia",276670
"2010","Cambodia",305799
"2015","Cambodia",368605
"2020","Cambodia",372334
"1990","Indonesia",1263495
"1995","Indonesia",1379025
"2000","Indonesia",1519391
"2005","Indonesia",1716742
"2010","Indonesia",2214561
"2015","Indonesia",2642386
"2020","Indonesia",3102137
"1990","Lao People's Democratic Republic",252193
"1995","Lao People's Democratic Republic",272658
"2000","Lao People's Democratic Republic",292877
"2005","Lao People's Democratic Republic",276820
"2010","Lao People's Democratic Republic",278344
"2015","Lao People's Democratic Republic",291519
"2020","Lao People's Democratic Republic",258977
"1990","Malaysia",433387
"1995","Malaysia",701922
"2000","Malaysia",1008954
"2005","Malaysia",1154103
"2010","Malaysia",1355334
"2015","Malaysia",1538572
"2020","Malaysia",1619828
"1990","Myanmar",133938
"1995","Myanmar",155844
"2000","Myanmar",167952
"2005","Myanmar",215669
"2010","Myanmar",291827
"2015","Myanmar",434689
"2020","Myanmar",529638
"1990","Philippines",1881907
"1995","Philippines",2323919
"2000","Philippines",2840441
"2005","Philippines",3536316
"2010","Philippines",4581457
"2015","Philippines",5307773
"2020","Philippines",5889761
"1990","Singapore",98628
"1995","Singapore",112625
"2000","Singapore",130024
"2005","Singapore",145303
"2010","Singapore",166156
"2015","Singapore",190060
"2020","Singapore",207566
"1990","Thailand",234663
"1995","Thailand",319382
"2000","Thailand",408423
"2005","Thailand",523034
"2010","Thailand",657303
"2015","Thailand",809324
"2020","Thailand",967684
"1990","Timor-Leste",10514
"1995","Timor-Leste",7649
"2000","Timor-Leste",4577
"2005","Timor-Leste",14893
"2010","Timor-Leste",14494
"2015","Timor-Leste",14593
"2020","Timor-Leste",15689
"1990","Viet Nam",1046332
"1995","Viet Nam",1353314
"2000","Viet Nam",1658817
"2005","Viet Nam",1875085
"2010","Viet Nam",2133438
"2015","Viet Nam",2392294
"2020","Viet Nam",2862788
